p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Nick Leddy,Defenseman,Defenseman,2,New York Islanders,1357,Scott Mayfield,Defenseman,Defenseman,2,New York Islanders,1383,145
Jesperi Kotkaniemi,Center,Forward,8,Montréal Canadiens,468,Joel Armia,Right Wing,Forward,8,Montréal Canadiens,1092,145
Calle Jarnkrok,Center,Forward,18,Nashville Predators,1077,Austin Watson,Left Wing,Forward,9,Ottawa Senators,660,145
Bryan Rust,Right Wing,Forward,5,Pittsburgh Penguins,1215,Dominik Kahun,Center,Forward,22,Edmonton Oilers,775,145
Justin Braun,Defenseman,Defenseman,4,Philadelphia Flyers,1088,Ivan Provorov,Defenseman,Defenseman,4,Philadelphia Flyers,1908,145
Joe Thornton,Center,Forward,10,Toronto Maple Leafs,1206,Melker Karlsson,Center,Forward,0,No team,766,145
Nicholas Shore,Center,Forward,0,No team,593,Frederik Gauthier,Center,Forward,0,No team,624,145
Tim Schaller,Left Wing,Forward,0,No team,663,Tyler Motte,Center,Forward,23,Vancouver Canucks,451,145
Luke Glendening,Center,Forward,17,Detroit Red Wings,948,Adam Erne,Left Wing,Forward,17,Detroit Red Wings,667,146
Taylor Fedun,Defenseman,Defenseman,25,Dallas Stars,373,Jamie Oleksiak,Defenseman,Defenseman,25,Dallas Stars,1110,146
Jaden Schwartz,Left Wing,Forward,19,St. Louis Blues,1342,Jordan Kyrou,Center,Forward,19,St. Louis Blues,305,146
Nick Foligno,Left Wing,Forward,29,Columbus Blue Jackets,1401,Josh Anderson,Right Wing,Forward,8,Montréal Canadiens,418,146
Ilya Mikheyev,Right Wing,Forward,10,Toronto Maple Leafs,608,John Tavares,Center,Forward,10,Toronto Maple Leafs,1420,146
Brayden Schenn,Center,Forward,19,St. Louis Blues,1411,Vladimir Tarasenko,Right Wing,Forward,19,St. Louis Blues,213,146
Kyle Turris,Center,Forward,22,Edmonton Oilers,1008,Viktor Arvidsson,Right Wing,Forward,18,Nashville Predators,1005,146
Adam Erne,Left Wing,Forward,17,Detroit Red Wings,667,Darren Helm,Left Wing,Forward,17,Detroit Red Wings,974,146
Nikita Gusev,Left Wing,Forward,1,New Jersey Devils,1044,Jack Hughes,Center,Forward,1,New Jersey Devils,1150,147
Erik Johnson,Defenseman,Defenseman,21,Colorado Avalanche,1325,Nikita Zadorov,Defenseman,Defenseman,16,Chicago Blackhawks,1184,147
Joel Eriksson Ek,Center,Forward,30,Minnesota Wild,1018,Zach Parise,Left Wing,Forward,30,Minnesota Wild,1256,147
Jason Zucker,Left Wing,Forward,5,Pittsburgh Penguins,1014,Kevin Fiala,Left Wing,Forward,30,Minnesota Wild,1063,147
Tyler Bozak,Center,Forward,19,St. Louis Blues,1050,Ryan O'Reilly,Center,Forward,19,St. Louis Blues,1681,147
Connor Brown,Right Wing,Forward,9,Ottawa Senators,1518,Anthony Duclair,Left Wing,Forward,0,No team,1154,147
Bryan Rust,Right Wing,Forward,5,Pittsburgh Penguins,1215,Sidney Crosby,Center,Forward,5,Pittsburgh Penguins,869,147
Loui Eriksson,Left Wing,Forward,23,Vancouver Canucks,641,Tim Schaller,Left Wing,Forward,0,No team,663,147
Frederik Gauthier,Center,Forward,0,No team,624,Jason Spezza,Center,Forward,10,Toronto Maple Leafs,672,147
Brendan Smith,Defenseman,Defenseman,3,New York Rangers,714,Tony DeAngelo,Defenseman,Defenseman,3,New York Rangers,1440,147
Filip Hronek,Defenseman,Defenseman,17,Detroit Red Wings,1636,Dennis Cholowski,Defenseman,Defenseman,17,Detroit Red Wings,725,148
Kevin Stenlund,Center,Forward,29,Columbus Blue Jackets,467,Gustav Nyquist,Center,Forward,29,Columbus Blue Jackets,1394,148
Par Lindholm,Center,Forward,6,Boston Bruins,450,Chris Wagner,Right Wing,Forward,6,Boston Bruins,859,148
Roope Hintz,Left Wing,Forward,25,Dallas Stars,953,Mattias Janmark,Center,Forward,16,Chicago Blackhawks,942,148
Brayden Schenn,Center,Forward,19,St. Louis Blues,1411,Jordan Kyrou,Center,Forward,19,St. Louis Blues,305,148
Marcus Pettersson,Defenseman,Defenseman,5,Pittsburgh Penguins,1420,Chad Ruhwedel,Defenseman,Defenseman,5,Pittsburgh Penguins,606,148
Mark Jankowski,Center,Forward,5,Pittsburgh Penguins,650,Sam Bennett,Center,Forward,20,Calgary Flames,668,148
Will Butcher,Defenseman,Defenseman,1,New Jersey Devils,1070,Mirco Mueller,Defenseman,Defenseman,0,No team,910,148
Anthony Mantha,Right Wing,Forward,17,Detroit Red Wings,881,Robby Fabbri,Center,Forward,17,Detroit Red Wings,1075,148
Tyler Ennis,Center,Forward,22,Edmonton Oilers,1045,Drake Batherson,Right Wing,Forward,9,Ottawa Senators,374,149
Jordan Eberle,Right Wing,Forward,2,New York Islanders,1085,Josh Bailey,Right Wing,Forward,2,New York Islanders,1202,149
Jeff Carter,Center,Forward,26,Los Angeles Kings,1091,Kyle Clifford,Left Wing,Forward,19,St. Louis Blues,793,149
Brad Richardson,Right Wing,Forward,18,Nashville Predators,805,Carl Soderberg,Center,Forward,0,No team,1129,149
Logan Brown,Center,Forward,9,Ottawa Senators,287,Anthony Duclair,Left Wing,Forward,0,No team,1154,149
Andrew Mangiapane,Left Wing,Forward,20,Calgary Flames,968,Derek Ryan,Center,Forward,20,Calgary Flames,1022,150
Oskar Sundqvist,Center,Forward,19,St. Louis Blues,820,Alexander Steen,Left Wing,Forward,19,St. Louis Blues,781,150
Craig Smith,Right Wing,Forward,6,Boston Bruins,941,Mikael Granlund,Center,Forward,0,No team,1187,150
Ryan Getzlaf,Center,Forward,24,Anaheim Ducks,1440,Devin Shore,Center,Forward,0,No team,541,150
Frans Nielsen,Center,Forward,17,Detroit Red Wings,871,Valtteri Filppula,Center,Forward,17,Detroit Red Wings,1226,150
Joakim Nygard,Left Wing,Forward,22,Edmonton Oilers,399,Riley Sheahan,Center,Forward,0,No team,875,150
Nick Foligno,Left Wing,Forward,29,Columbus Blue Jackets,1401,Riley Nash,Center,Forward,29,Columbus Blue Jackets,784,150
Jesper Fast,Right Wing,Forward,12,Carolina Hurricanes,1165,Mika Zibanejad,Center,Forward,3,New York Rangers,1311,150
Danton Heinen,Left Wing,Forward,24,Anaheim Ducks,986,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,1062,150
Rickard Rakell,Left Wing,Forward,24,Anaheim Ducks,1316,Max Jones,Left Wing,Forward,24,Anaheim Ducks,967,151
Nick Cousins,Center,Forward,18,Nashville Predators,883,Jesperi Kotkaniemi,Center,Forward,8,Montréal Canadiens,468,151
Mathew Barzal,Center,Forward,2,New York Islanders,1473,Brock Nelson,Center,Forward,2,New York Islanders,1524,151
Brett Howden,Center,Forward,3,New York Rangers,949,Greg McKegg,Center,Forward,6,Boston Bruins,508,151
Nate Schmidt,Defenseman,Defenseman,23,Vancouver Canucks,1364,Shea Theodore,Defenseman,Defenseman,54,Vegas Golden Knights,1767,151
Dan Hamhuis,Defenseman,Defenseman,0,No team,871,Dante Fabbro,Defenseman,Defenseman,18,Nashville Predators,1218,151
Jason Dickinson,Center,Forward,25,Dallas Stars,992,Joe Pavelski,Center,Forward,25,Dallas Stars,1250,151
Jay Beagle,Center,Forward,23,Vancouver Canucks,707,Brandon Sutter,Center,Forward,23,Vancouver Canucks,665,151
Josh Leivo,Left Wing,Forward,20,Calgary Flames,580,Adam Gaudette,Center,Forward,23,Vancouver Canucks,750,151
Tyler Bertuzzi,Left Wing,Forward,17,Detroit Red Wings,1416,Filip Zadina,Right Wing,Forward,17,Detroit Red Wings,430,152
Alex Ovechkin,Left Wing,Forward,15,Washington Capitals,1586,Jakub Vrana,Left Wing,Forward,15,Washington Capitals,1076,152
Michael Raffl,Left Wing,Forward,4,Philadelphia Flyers,717,Jakub Voracek,Right Wing,Forward,4,Philadelphia Flyers,1300,152
Zach Hyman,Left Wing,Forward,10,Toronto Maple Leafs,989,Kasperi Kapanen,Right Wing,Forward,5,Pittsburgh Penguins,1141,152
Alexander Steen,Left Wing,Forward,19,St. Louis Blues,781,Ryan O'Reilly,Center,Forward,19,St. Louis Blues,1681,152
Alex Nylander,Left Wing,Forward,16,Chicago Blackhawks,821,Dylan Strome,Center,Forward,16,Chicago Blackhawks,950,152
Pierre-Luc Dubois,Center,Forward,29,Columbus Blue Jackets,1473,Boone Jenner,Center,Forward,29,Columbus Blue Jackets,1360,152
Mark Stone,Right Wing,Forward,54,Vegas Golden Knights,1449,Cody Glass,Center,Forward,54,Vegas Golden Knights,572,153
Adam Fox,Defenseman,Defenseman,3,New York Rangers,1388,Brendan Smith,Defenseman,Defenseman,3,New York Rangers,714,153
Joel Edmundson,Defenseman,Defenseman,8,Montréal Canadiens,1282,Trevor van Riemsdyk,Defenseman,Defenseman,15,Washington Capitals,728,153
Victor Olofsson,Left Wing,Forward,7,Buffalo Sabres,1082,Marcus Johansson,Center,Forward,30,Minnesota Wild,1130,153
Nick Paul,Left Wing,Forward,9,Ottawa Senators,866,Chris Tierney,Center,Forward,9,Ottawa Senators,1320,153
Evander Kane,Left Wing,Forward,28,San Jose Sharks,1367,Patrick Marleau,Center,Forward,28,San Jose Sharks,1058,153
Mikael Backlund,Center,Forward,20,Calgary Flames,1341,Sam Bennett,Center,Forward,20,Calgary Flames,668,153
Aaron Ness,Defenseman,Defenseman,53,Arizona Coyotes,301,Jordan Oesterle,Defenseman,Defenseman,53,Arizona Coyotes,1036,153
Max Pacioretty,Left Wing,Forward,54,Vegas Golden Knights,1443,Reilly Smith,Right Wing,Forward,54,Vegas Golden Knights,1319,153
Valtteri Filppula,Center,Forward,17,Detroit Red Wings,1226,Luke Glendening,Center,Forward,17,Detroit Red Wings,948,153
Brendan Lemieux,Left Wing,Forward,3,New York Rangers,838,Greg McKegg,Center,Forward,6,Boston Bruins,508,153
Andreas Athanasiou,Left Wing,Forward,0,No team,910,Luke Glendening,Center,Forward,17,Detroit Red Wings,948,154
Tony DeAngelo,Defenseman,Defenseman,3,New York Rangers,1440,Adam Fox,Defenseman,Defenseman,3,New York Rangers,1388,154
Seth Jones,Defenseman,Defenseman,29,Columbus Blue Jackets,1637,Dean Kukan,Defenseman,Defenseman,29,Columbus Blue Jackets,533,154
Sam Gagner,Center,Forward,17,Detroit Red Wings,581,Gaetan Haas,Center,Forward,22,Edmonton Oilers,578,154
Mark Jankowski,Center,Forward,5,Pittsburgh Penguins,650,Michael Frolik,Right Wing,Forward,0,No team,709,154
Rickard Rakell,Left Wing,Forward,24,Anaheim Ducks,1316,Troy Terry,Right Wing,Forward,24,Anaheim Ducks,756,154
Brandon Tanev,Left Wing,Forward,5,Pittsburgh Penguins,1095,Jared McCann,Center,Forward,5,Pittsburgh Penguins,1091,155
James van Riemsdyk,Left Wing,Forward,4,Philadelphia Flyers,1036,Scott Laughton,Center,Forward,4,Philadelphia Flyers,730,155
Logan Brown,Center,Forward,9,Ottawa Senators,287,Brady Tkachuk,Left Wing,Forward,9,Ottawa Senators,1566,155
Jordan Weal,Center,Forward,8,Montréal Canadiens,667,Nick Suzuki,Center,Forward,8,Montréal Canadiens,1244,155
Vladislav Kamenev,Center,Forward,21,Colorado Avalanche,360,Tyson Jost,Center,Forward,21,Colorado Avalanche,870,155
Scott Mayfield,Defenseman,Defenseman,2,New York Islanders,1383,Adam Pelech,Defenseman,Defenseman,2,New York Islanders,847,155
Kasperi Kapanen,Right Wing,Forward,5,Pittsburgh Penguins,1141,William Nylander,Right Wing,Forward,10,Toronto Maple Leafs,1310,155
Pavel Zacha,Center,Forward,1,New Jersey Devils,1116,Nico Hischier,Center,Forward,1,New Jersey Devils,1162,156
Derek Stepan,Center,Forward,53,Arizona Coyotes,1370,Christian Dvorak,Center,Forward,53,Arizona Coyotes,1248,156
Oscar Klefbom,Defenseman,Defenseman,22,Edmonton Oilers,1668,Ethan Bear,Defenseman,Defenseman,22,Edmonton Oilers,1646,156
Vladislav Gavrikov,Defenseman,Defenseman,29,Columbus Blue Jackets,1409,Seth Jones,Defenseman,Defenseman,29,Columbus Blue Jackets,1637,156
Josh Archibald,Right Wing,Forward,22,Edmonton Oilers,853,Connor McDavid,Center,Forward,22,Edmonton Oilers,1516,156
Alex Galchenyuk,Left Wing,Forward,9,Ottawa Senators,786,Jared McCann,Center,Forward,5,Pittsburgh Penguins,1091,157
Cam Atkinson,Right Wing,Forward,29,Columbus Blue Jackets,880,Alexandre Texier,Center,Forward,29,Columbus Blue Jackets,490,157
Marc Staal,Defenseman,Defenseman,17,Detroit Red Wings,933,Brendan Smith,Defenseman,Defenseman,3,New York Rangers,714,157
Boone Jenner,Center,Forward,29,Columbus Blue Jackets,1360,Emil Bemstrom,Center,Forward,29,Columbus Blue Jackets,719,158
Jamie Benn,Left Wing,Forward,25,Dallas Stars,1219,Roope Hintz,Left Wing,Forward,25,Dallas Stars,953,158
Josh Brown,Defenseman,Defenseman,9,Ottawa Senators,788,Mark Pysyk,Defenseman,Defenseman,25,Dallas Stars,746,158
Brian Boyle,Center,Forward,0,No team,511,Colton Sceviour,Center,Forward,5,Pittsburgh Penguins,924,158
Scott Harrington,Defenseman,Defenseman,29,Columbus Blue Jackets,544,Andrew Peeke,Defenseman,Defenseman,29,Columbus Blue Jackets,341,159
Adam Fox,Defenseman,Defenseman,3,New York Rangers,1388,Brady Skjei,Defenseman,Defenseman,12,Carolina Hurricanes,1449,159
Caleb Jones,Defenseman,Defenseman,22,Edmonton Oilers,615,Adam Larsson,Defenseman,Defenseman,22,Edmonton Oilers,1008,159
P.K. Subban,Defenseman,Defenseman,1,New Jersey Devils,1584,Sami Vatanen,Defenseman,Defenseman,0,No team,1111,159
Dominic Toninato,Center,Forward,52,Winnipeg Jets,517,Mike Hoffman,Left Wing,Forward,0,No team,1218,160
Joonas Donskoi,Right Wing,Forward,21,Colorado Avalanche,1075,Tyson Jost,Center,Forward,21,Colorado Avalanche,870,160
Alex Killorn,Left Wing,Forward,14,Tampa Bay Lightning,1249,Mathieu Joseph,Right Wing,Forward,14,Tampa Bay Lightning,443,160
Andreas Johnsson,Left Wing,Forward,1,New Jersey Devils,697,Mitchell Marner,Right Wing,Forward,10,Toronto Maple Leafs,1468,160
Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,1010,Pierre Engvall,Left Wing,Forward,10,Toronto Maple Leafs,573,160
Ryan Getzlaf,Center,Forward,24,Anaheim Ducks,1440,Max Comtois,Left Wing,Forward,24,Anaheim Ducks,415,160
Steven Stamkos,Center,Forward,14,Tampa Bay Lightning,1136,Ondrej Palat,Left Wing,Forward,14,Tampa Bay Lightning,1169,160
Mattias Janmark,Center,Forward,16,Chicago Blackhawks,942,Tyler Seguin,Center,Forward,25,Dallas Stars,1564,160
Nick Bonino,Center,Forward,30,Minnesota Wild,1187,Austin Watson,Left Wing,Forward,9,Ottawa Senators,660,161
Michael Frolik,Right Wing,Forward,0,No team,709,Tobias Rieder,Center,Forward,7,Buffalo Sabres,629,161
Devin Shore,Center,Forward,0,No team,541,Carter Rowney,Center,Forward,24,Anaheim Ducks,949,161
Brian Boyle,Center,Forward,0,No team,511,Mike Hoffman,Left Wing,Forward,0,No team,1218,161
Calle Jarnkrok,Center,Forward,18,Nashville Predators,1077,Filip Forsberg,Left Wing,Forward,18,Nashville Predators,1125,161
Valtteri Filppula,Center,Forward,17,Detroit Red Wings,1226,Darren Helm,Left Wing,Forward,17,Detroit Red Wings,974,161
Eric Robinson,Left Wing,Forward,29,Columbus Blue Jackets,595,Jakob Lilja,Left Wing,Forward,0,No team,366,161
Ryan Pulock,Defenseman,Defenseman,2,New York Islanders,1634,Johnny Boychuk,Defenseman,Defenseman,2,New York Islanders,1157,162
Markus Granlund,Center,Forward,0,No team,383,Patrick Russell,Right Wing,Forward,22,Edmonton Oilers,526,162
Leo Komarov,Right Wing,Forward,2,New York Islanders,606,Anthony Beauvillier,Left Wing,Forward,2,New York Islanders,1389,162
Troy Terry,Right Wing,Forward,24,Anaheim Ducks,756,Max Jones,Left Wing,Forward,24,Anaheim Ducks,967,162
Jakub Voracek,Right Wing,Forward,4,Philadelphia Flyers,1300,Oskar Lindblom,Left Wing,Forward,4,Philadelphia Flyers,578,162
Vladimir Sobotka,Center,Forward,0,No team,228,Jeff Skinner,Left Wing,Forward,7,Buffalo Sabres,1003,162
Ryan Reaves,Right Wing,Forward,54,Vegas Golden Knights,774,Nicolas Roy,Center,Forward,54,Vegas Golden Knights,320,163
Artemi Panarin,Left Wing,Forward,3,New York Rangers,1568,Filip Chytil,Center,Forward,3,New York Rangers,906,163
Tyler Toffoli,Right Wing,Forward,8,Montréal Canadiens,1231,Elias Pettersson,Center,Forward,23,Vancouver Canucks,1418,163
Brett Kulak,Defenseman,Defenseman,8,Montréal Canadiens,960,Cale Fleury,Defenseman,Defenseman,8,Montréal Canadiens,590,164
David Pastrnak,Right Wing,Forward,6,Boston Bruins,1531,Charlie Coyle,Center,Forward,6,Boston Bruins,1206,164
Andre Burakovsky,Left Wing,Forward,21,Colorado Avalanche,955,J.T. Compher,Center,Forward,21,Colorado Avalanche,1207,164
Miro Heiskanen,Defenseman,Defenseman,25,Dallas Stars,1744,John Klingberg,Defenseman,Defenseman,25,Dallas Stars,1393,164
Ryan Graves,Defenseman,Defenseman,21,Colorado Avalanche,1384,Samuel Girard,Defenseman,Defenseman,21,Colorado Avalanche,1554,164
Anthony Cirelli,Center,Forward,14,Tampa Bay Lightning,1449,Mathieu Joseph,Right Wing,Forward,14,Tampa Bay Lightning,443,165
Cody Glass,Center,Forward,54,Vegas Golden Knights,572,Alex Tuch,Right Wing,Forward,54,Vegas Golden Knights,631,165
Jeff Petry,Defenseman,Defenseman,8,Montréal Canadiens,1826,Marco Scandella,Defenseman,Defenseman,19,St. Louis Blues,1108,165
Tim Heed,Defenseman,Defenseman,0,No team,510,Mario Ferraro,Defenseman,Defenseman,28,San Jose Sharks,1028,165
Darren Helm,Left Wing,Forward,17,Detroit Red Wings,974,Dylan Larkin,Center,Forward,17,Detroit Red Wings,1655,165
Adam Erne,Left Wing,Forward,17,Detroit Red Wings,667,Christoffer Ehn,Center,Forward,0,No team,562,166
Gabriel Bourque,Left Wing,Forward,0,No team,447,Adam Lowry,Center,Forward,52,Winnipeg Jets,790,166
Alex Nylander,Left Wing,Forward,16,Chicago Blackhawks,821,Ryan Carpenter,Center,Forward,16,Chicago Blackhawks,1003,166
Ben Hutton,Defenseman,Defenseman,0,No team,1194,Sean Walker,Defenseman,Defenseman,26,Los Angeles Kings,1412,166
Markus Granlund,Center,Forward,0,No team,383,Gaetan Haas,Center,Forward,22,Edmonton Oilers,578,167
Pierre-Luc Dubois,Center,Forward,29,Columbus Blue Jackets,1473,Alex Wennberg,Center,Forward,13,Florida Panthers,1055,167
Nikita Zadorov,Defenseman,Defenseman,16,Chicago Blackhawks,1184,Ryan Graves,Defenseman,Defenseman,21,Colorado Avalanche,1384,167
Jeff Carter,Center,Forward,26,Los Angeles Kings,1091,Adrian Kempe,Center,Forward,26,Los Angeles Kings,1178,167
Phil Kessel,Right Wing,Forward,53,Arizona Coyotes,1290,Taylor Hall,Left Wing,Forward,7,Buffalo Sabres,1336,167
Vince Dunn,Defenseman,Defenseman,19,St. Louis Blues,1183,Colton Parayko,Defenseman,Defenseman,19,St. Louis Blues,1576,167
Michael Raffl,Left Wing,Forward,4,Philadelphia Flyers,717,Nicolas Aube-Kubel,Right Wing,Forward,4,Philadelphia Flyers,406,167
Jeff Carter,Center,Forward,26,Los Angeles Kings,1091,Blake Lizotte,Center,Forward,26,Los Angeles Kings,938,167
Braydon Coburn,Defenseman,Defenseman,14,Tampa Bay Lightning,620,Mikhail Sergachev,Defenseman,Defenseman,14,Tampa Bay Lightning,1527,167
Mats Zuccarello,Right Wing,Forward,30,Minnesota Wild,1071,Alex Galchenyuk,Left Wing,Forward,9,Ottawa Senators,786,168
Colin White,Center,Forward,9,Ottawa Senators,991,Artem Anisimov,Center,Forward,9,Ottawa Senators,695,168
Tyler Toffoli,Right Wing,Forward,8,Montréal Canadiens,1231,J.T. Miller,Center,Forward,23,Vancouver Canucks,1586,168
Luca Sbisa,Defenseman,Defenseman,52,Winnipeg Jets,847,Anthony Bitetto,Defenseman,Defenseman,3,New York Rangers,812,168
Filip Zadina,Right Wing,Forward,17,Detroit Red Wings,430,Dylan Larkin,Center,Forward,17,Detroit Red Wings,1655,168
Anthony Mantha,Right Wing,Forward,17,Detroit Red Wings,881,Andreas Athanasiou,Left Wing,Forward,0,No team,910,168
Tomas Hertl,Center,Forward,28,San Jose Sharks,935,Patrick Marleau,Center,Forward,28,San Jose Sharks,1058,168
Erik Cernak,Defenseman,Defenseman,14,Tampa Bay Lightning,1339,Mikhail Sergachev,Defenseman,Defenseman,14,Tampa Bay Lightning,1527,169
Marcus Johansson,Center,Forward,30,Minnesota Wild,1130,Vladimir Sobotka,Center,Forward,0,No team,228,169
Travis Zajac,Center,Forward,1,New Jersey Devils,1216,Wayne Simmonds,Right Wing,Forward,10,Toronto Maple Leafs,1020,169
Mika Zibanejad,Center,Forward,3,New York Rangers,1311,Kaapo Kakko,Right Wing,Forward,3,New York Rangers,960,169
Tyler Ennis,Center,Forward,22,Edmonton Oilers,1045,Vladislav Namestnikov,Center,Forward,17,Detroit Red Wings,1016,169
Mattias Janmark,Center,Forward,16,Chicago Blackhawks,942,Radek Faksa,Center,Forward,25,Dallas Stars,1082,169
Markus Nutivaara,Defenseman,Defenseman,13,Florida Panthers,590,Scott Harrington,Defenseman,Defenseman,29,Columbus Blue Jackets,544,169
Johnny Boychuk,Defenseman,Defenseman,2,New York Islanders,1157,Noah Dobson,Defenseman,Defenseman,2,New York Islanders,451,170
Patric Hornqvist,Right Wing,Forward,13,Florida Panthers,894,Dominik Kahun,Center,Forward,22,Edmonton Oilers,775,170
Nate Thompson,Center,Forward,52,Winnipeg Jets,914,Jordan Weal,Center,Forward,8,Montréal Canadiens,667,170
Radko Gudas,Defenseman,Defenseman,13,Florida Panthers,1074,Michal Kempny,Defenseman,Defenseman,15,Washington Capitals,1095,170
Jean-Gabriel Pageau,Center,Forward,2,New York Islanders,1467,Vladislav Namestnikov,Center,Forward,17,Detroit Red Wings,1016,170
Evander Kane,Left Wing,Forward,28,San Jose Sharks,1367,Joe Thornton,Center,Forward,10,Toronto Maple Leafs,1206,170
Brent Seabrook,Defenseman,Defenseman,16,Chicago Blackhawks,611,Olli Maatta,Defenseman,Defenseman,26,Los Angeles Kings,1239,170
Brad Marchand,Left Wing,Forward,6,Boston Bruins,1562,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,1062,171
Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,1062,Karson Kuhlman,Center,Forward,6,Boston Bruins,313,171
Kyle Connor,Left Wing,Forward,52,Winnipeg Jets,1618,Nikolaj Ehlers,Left Wing,Forward,52,Winnipeg Jets,1194,171
Mike Matheson,Defenseman,Defenseman,5,Pittsburgh Penguins,1121,Mark Pysyk,Defenseman,Defenseman,25,Dallas Stars,746,171
David Krejci,Center,Forward,6,Boston Bruins,1194,Karson Kuhlman,Center,Forward,6,Boston Bruins,313,172
Christian Fischer,Right Wing,Forward,53,Arizona Coyotes,623,Michael Grabner,Left Wing,Forward,0,No team,569,172
Nick Jensen,Defenseman,Defenseman,15,Washington Capitals,1245,Michal Kempny,Defenseman,Defenseman,15,Washington Capitals,1095,172
Marcus Sorensen,Left Wing,Forward,28,San Jose Sharks,937,Kevin Labanc,Right Wing,Forward,28,San Jose Sharks,1221,172
Dmitry Kulikov,Defenseman,Defenseman,1,New Jersey Devils,1023,Josh Morrissey,Defenseman,Defenseman,52,Winnipeg Jets,1606,172
Patrice Bergeron,Center,Forward,6,Boston Bruins,1294,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,1062,172
Ilya Kovalchuk,Left Wing,Forward,0,No team,856,Nick Suzuki,Center,Forward,8,Montréal Canadiens,1244,172
Matt Niskanen,Defenseman,Defenseman,4,Philadelphia Flyers,1555,Travis Sanheim,Defenseman,Defenseman,4,Philadelphia Flyers,1434,172
Ryan Carpenter,Center,Forward,16,Chicago Blackhawks,1003,David Kampf,Center,Forward,16,Chicago Blackhawks,972,172
Melker Karlsson,Center,Forward,0,No team,766,Stefan Noesen,Right Wing,Forward,28,San Jose Sharks,480,172
Kirby Dach,Center,Forward,16,Chicago Blackhawks,953,Ryan Carpenter,Center,Forward,16,Chicago Blackhawks,1003,172
Nikolaj Ehlers,Left Wing,Forward,52,Winnipeg Jets,1194,Patrik Laine,Right Wing,Forward,52,Winnipeg Jets,1384,173
Mikko Rantanen,Right Wing,Forward,21,Colorado Avalanche,875,Andre Burakovsky,Left Wing,Forward,21,Colorado Avalanche,955,173
Jeff Carter,Center,Forward,26,Los Angeles Kings,1091,Nikolai Prokhorkin,Left Wing,Forward,0,No team,527,173
Nathan MacKinnon,Center,Forward,21,Colorado Avalanche,1631,J.T. Compher,Center,Forward,21,Colorado Avalanche,1207,173
Jake Gardiner,Defenseman,Defenseman,12,Carolina Hurricanes,1194,Haydn Fleury,Defenseman,Defenseman,12,Carolina Hurricanes,624,173
Max Pacioretty,Left Wing,Forward,54,Vegas Golden Knights,1443,Jonathan Marchessault,Center,Forward,54,Vegas Golden Knights,1279,174
Tyler Johnson,Center,Forward,14,Tampa Bay Lightning,991,Yanni Gourde,Center,Forward,14,Tampa Bay Lightning,1053,174
Charlie Coyle,Center,Forward,6,Boston Bruins,1206,Brett Ritchie,Right Wing,Forward,0,No team,286,174
Oliver Ekman-Larsson,Defenseman,Defenseman,53,Arizona Coyotes,1569,Ilya Lyubushkin,Defenseman,Defenseman,53,Arizona Coyotes,724,174
Nicholas Shore,Center,Forward,0,No team,593,Gabriel Bourque,Left Wing,Forward,0,No team,447,174
Cam Fowler,Defenseman,Defenseman,24,Anaheim Ducks,1494,Brendan Guhle,Defenseman,Defenseman,24,Anaheim Ducks,578,174
Tyler Motte,Center,Forward,23,Vancouver Canucks,451,Brandon Sutter,Center,Forward,23,Vancouver Canucks,665,174
Mattias Janmark,Center,Forward,16,Chicago Blackhawks,942,Jason Dickinson,Center,Forward,25,Dallas Stars,992,175
Melker Karlsson,Center,Forward,0,No team,766,Dylan Gambrell,Center,Forward,28,San Jose Sharks,623,175
Dominik Simon,Center,Forward,20,Calgary Flames,922,Patric Hornqvist,Right Wing,Forward,13,Florida Panthers,894,175
Alex Goligoski,Defenseman,Defenseman,53,Arizona Coyotes,1701,Niklas Hjalmarsson,Defenseman,Defenseman,53,Arizona Coyotes,507,175
Lars Eller,Center,Forward,15,Washington Capitals,1261,Garnet Hathaway,Right Wing,Forward,15,Washington Capitals,729,175
Nikita Zadorov,Defenseman,Defenseman,16,Chicago Blackhawks,1184,Cale Makar,Defenseman,Defenseman,21,Colorado Avalanche,1303,175
Brandon Saad,Left Wing,Forward,21,Colorado Avalanche,1094,David Kampf,Center,Forward,16,Chicago Blackhawks,972,175
Ryan Getzlaf,Center,Forward,24,Anaheim Ducks,1440,Sam Steel,Center,Forward,24,Anaheim Ducks,1150,176
Brandon Saad,Left Wing,Forward,21,Colorado Avalanche,1094,Kirby Dach,Center,Forward,16,Chicago Blackhawks,953,176
Trevor Daley,Defenseman,Defenseman,0,No team,686,Madison Bowey,Defenseman,Defenseman,0,No team,981,176
Brayden Point,Center,Forward,14,Tampa Bay Lightning,1394,Anthony Cirelli,Center,Forward,14,Tampa Bay Lightning,1449,176
Warren Foegele,Left Wing,Forward,12,Carolina Hurricanes,944,Sebastian Aho,Center,Forward,12,Carolina Hurricanes,1509,177
Gabriel Landeskog,Left Wing,Forward,21,Colorado Avalanche,1188,Joonas Donskoi,Right Wing,Forward,21,Colorado Avalanche,1075,177
