p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Nick Suzuki,Center,Forward,8,Montréal Canadiens,1244,Nate Thompson,Center,Forward,52,Winnipeg Jets,914,124
Cody Eakin,Center,Forward,7,Buffalo Sabres,770,William Carrier,Left Wing,Forward,54,Vegas Golden Knights,729,125
Boone Jenner,Center,Forward,29,Columbus Blue Jackets,1360,Cam Atkinson,Right Wing,Forward,29,Columbus Blue Jackets,880,125
Kasperi Kapanen,Right Wing,Forward,5,Pittsburgh Penguins,1141,Auston Matthews,Center,Forward,10,Toronto Maple Leafs,1602,125
Mike Hoffman,Left Wing,Forward,0,No team,1218,Denis Malgin,Center,Forward,10,Toronto Maple Leafs,543,125
Isac Lundestrom,Center,Forward,24,Anaheim Ducks,240,Max Comtois,Left Wing,Forward,24,Anaheim Ducks,415,125
Andre Burakovsky,Left Wing,Forward,21,Colorado Avalanche,955,Tyson Jost,Center,Forward,21,Colorado Avalanche,870,125
Michael Frolik,Right Wing,Forward,0,No team,709,Marcus Johansson,Center,Forward,30,Minnesota Wild,1130,125
Denis Gurianov,Right Wing,Forward,25,Dallas Stars,872,Jamie Benn,Left Wing,Forward,25,Dallas Stars,1219,125
Warren Foegele,Left Wing,Forward,12,Carolina Hurricanes,944,Lucas Wallmark,Center,Forward,16,Chicago Blackhawks,886,125
Jeff Skinner,Left Wing,Forward,7,Buffalo Sabres,1003,Victor Olofsson,Left Wing,Forward,7,Buffalo Sabres,1082,125
Kevin Labanc,Right Wing,Forward,28,San Jose Sharks,1221,Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1186,125
John Hayden,Center,Forward,53,Arizona Coyotes,431,Miles Wood,Left Wing,Forward,1,New Jersey Devils,902,125
Pierre-Luc Dubois,Center,Forward,29,Columbus Blue Jackets,1473,Alexandre Texier,Center,Forward,29,Columbus Blue Jackets,490,125
Derek Forbort,Defenseman,Defenseman,52,Winnipeg Jets,356,Drew Doughty,Defenseman,Defenseman,26,Los Angeles Kings,1891,126
Nazem Kadri,Center,Forward,21,Colorado Avalanche,925,Tyson Jost,Center,Forward,21,Colorado Avalanche,870,126
Luke Witkowski,Right Wing,Forward,14,Tampa Bay Lightning,143,Pat Maroon,Left Wing,Forward,14,Tampa Bay Lightning,875,126
