p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Leon Draisaitl,Center,Forward,22,Edmonton Oilers,1517,Connor McDavid,Center,Forward,22,Edmonton Oilers,1491,854
Tyson Barrie,Defenseman,Defenseman,22,Edmonton Oilers,1393,Darnell Nurse,Defenseman,Defenseman,22,Edmonton Oilers,1692,855
Cal Clutterbuck,Right Wing,Forward,2,New York Islanders,968,Casey Cizikas,Center,Forward,2,New York Islanders,1086,856
Tyler Toffoli,Right Wing,Forward,8,Montréal Canadiens,1423,Nick Suzuki,Center,Forward,8,Montréal Canadiens,1575,856
Patrice Bergeron,Center,Forward,6,Boston Bruins,1274,David Pastrnak,Right Wing,Forward,6,Boston Bruins,1223,861
Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1277,Yanni Gourde,Center,Forward,14,Tampa Bay Lightning,1520,885
David Perron,Left Wing,Forward,19,St. Louis Blues,1156,Ryan O'Reilly,Center,Forward,19,St. Louis Blues,1410,890
Blake Wheeler,Right Wing,Forward,52,Winnipeg Jets,1153,Mark Scheifele,Center,Forward,52,Winnipeg Jets,1377,901
Brad Marchand,Left Wing,Forward,6,Boston Bruins,1335,David Pastrnak,Right Wing,Forward,6,Boston Bruins,1223,901
Jamie Oleksiak,Defenseman,Defenseman,25,Dallas Stars,1192,Miro Heiskanen,Defenseman,Defenseman,25,Dallas Stars,1501,908
Drew Doughty,Defenseman,Defenseman,26,Los Angeles Kings,1546,Mikey Anderson,Defenseman,Defenseman,26,Los Angeles Kings,1158,927
J.T. Miller,Center,Forward,23,Vancouver Canucks,1251,Brock Boeser,Right Wing,Forward,23,Vancouver Canucks,1209,938
Ryan McDonagh,Defenseman,Defenseman,14,Tampa Bay Lightning,1708,Erik Cernak,Defenseman,Defenseman,14,Tampa Bay Lightning,1391,942
Blake Coleman,Center,Forward,14,Tampa Bay Lightning,1369,Yanni Gourde,Center,Forward,14,Tampa Bay Lightning,1520,943
Patrick Kane,Right Wing,Forward,16,Chicago Blackhawks,1400,Alex DeBrincat,Left Wing,Forward,16,Chicago Blackhawks,1231,950
Anze Kopitar,Center,Forward,26,Los Angeles Kings,1252,Alex Iafallo,Left Wing,Forward,26,Los Angeles Kings,1094,951
Brady Skjei,Defenseman,Defenseman,12,Carolina Hurricanes,1384,Brett Pesce,Defenseman,Defenseman,12,Carolina Hurricanes,1703,956
Max Pacioretty,Left Wing,Forward,54,Vegas Golden Knights,1211,Mark Stone,Right Wing,Forward,54,Vegas Golden Knights,1532,969
Victor Hedman,Defenseman,Defenseman,14,Tampa Bay Lightning,2204,Jan Rutta,Defenseman,Defenseman,14,Tampa Bay Lightning,1011,970
Jonas Brodin,Defenseman,Defenseman,30,Minnesota Wild,1412,Matt Dumba,Defenseman,Defenseman,30,Minnesota Wild,1369,979
Alex Killorn,Left Wing,Forward,14,Tampa Bay Lightning,1473,Anthony Cirelli,Center,Forward,14,Tampa Bay Lightning,1415,979
Jake Guentzel,Left Wing,Forward,5,Pittsburgh Penguins,1353,Bryan Rust,Right Wing,Forward,5,Pittsburgh Penguins,1275,990
Sidney Crosby,Center,Forward,5,Pittsburgh Penguins,1362,Bryan Rust,Right Wing,Forward,5,Pittsburgh Penguins,1275,997
Reilly Smith,Right Wing,Forward,54,Vegas Golden Knights,1342,Jonathan Marchessault,Center,Forward,54,Vegas Golden Knights,1431,1011
Dougie Hamilton,Defenseman,Defenseman,12,Carolina Hurricanes,1699,Jaccob Slavin,Defenseman,Defenseman,12,Carolina Hurricanes,1483,1013
TJ Brodie,Defenseman,Defenseman,10,Toronto Maple Leafs,1420,Morgan Rielly,Defenseman,Defenseman,10,Toronto Maple Leafs,1636,1023
Gabriel Landeskog,Left Wing,Forward,21,Colorado Avalanche,1427,Nathan MacKinnon,Center,Forward,21,Colorado Avalanche,1241,1043
Mark Stone,Right Wing,Forward,54,Vegas Golden Knights,1532,Chandler Stephenson,Center,Forward,54,Vegas Golden Knights,1256,1048
Nick Leddy,Defenseman,Defenseman,2,New York Islanders,1802,Scott Mayfield,Defenseman,Defenseman,2,New York Islanders,1626,1050
