p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Michael Raffl,Left Wing,Forward,15,Washington Capitals,650,Connor Bunnaman,Center,Forward,4,Philadelphia Flyers,208,133
Mikael Backlund,Center,Forward,20,Calgary Flames,956,Sam Bennett,Center,Forward,13,Florida Panthers,817,133
Dylan Larkin,Center,Forward,17,Detroit Red Wings,983,Mathias Brome,Left Wing,Forward,17,Detroit Red Wings,372,133
Andy Greene,Defenseman,Defenseman,2,New York Islanders,1353,Adam Pelech,Defenseman,Defenseman,2,New York Islanders,1770,133
Jeff Carter,Center,Forward,5,Pittsburgh Penguins,1058,Jason Zucker,Left Wing,Forward,5,Pittsburgh Penguins,740,133
Nick Cousins,Center,Forward,18,Nashville Predators,808,Viktor Arvidsson,Right Wing,Forward,26,Los Angeles Kings,911,134
Dmitry Kulikov,Defenseman,Defenseman,22,Edmonton Oilers,1016,Sami Vatanen,Defenseman,Defenseman,25,Dallas Stars,665,134
Mark Scheifele,Center,Forward,52,Winnipeg Jets,1377,Mason Appleton,Center,Forward,52,Winnipeg Jets,971,134
Anders Bjork,Left Wing,Forward,7,Buffalo Sabres,690,Dylan Cozens,Center,Forward,7,Buffalo Sabres,590,134
Luke Schenn,Defenseman,Defenseman,14,Tampa Bay Lightning,556,Erik Cernak,Defenseman,Defenseman,14,Tampa Bay Lightning,1391,134
Oliver Bjorkstrand,Right Wing,Forward,29,Columbus Blue Jackets,1116,Kevin Stenlund,Center,Forward,29,Columbus Blue Jackets,402,134
Ben Harpur,Defenseman,Defenseman,18,Nashville Predators,660,Dante Fabbro,Defenseman,Defenseman,18,Nashville Predators,774,134
Jacob Larsson,Defenseman,Defenseman,24,Anaheim Ducks,833,Cam Fowler,Defenseman,Defenseman,24,Anaheim Ducks,1329,134
Brandon Montour,Defenseman,Defenseman,13,Florida Panthers,1165,Rasmus Dahlin,Defenseman,Defenseman,7,Buffalo Sabres,1265,135
Nicolas Aube-Kubel,Right Wing,Forward,4,Philadelphia Flyers,582,Oskar Lindblom,Left Wing,Forward,4,Philadelphia Flyers,659,135
