p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,15.12,Jack Studnicka,Center,Forward,6,Boston Bruins,11.67,0.03
Chris Wagner,Right Wing,Forward,6,Boston Bruins,10.7,Anders Bjork,Left Wing,Forward,6,Boston Bruins,13.93,0.08
Brad Marchand,Left Wing,Forward,6,Boston Bruins,20.17,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,15.12,0.08
Patrice Bergeron,Center,Forward,6,Boston Bruins,17.67,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,15.12,0.15
Ondrej Kase,Right Wing,Forward,6,Boston Bruins,13.63,Patrice Bergeron,Center,Forward,6,Boston Bruins,17.67,0.18
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,11.27,Chris Wagner,Right Wing,Forward,6,Boston Bruins,10.7,0.32
Sean Kuraly,Center,Forward,6,Boston Bruins,12.68,Ondrej Kase,Right Wing,Forward,6,Boston Bruins,13.63,0.32
Charlie Coyle,Center,Forward,6,Boston Bruins,18.38,Ondrej Kase,Right Wing,Forward,6,Boston Bruins,13.63,0.35
Anders Bjork,Left Wing,Forward,6,Boston Bruins,13.93,Brad Marchand,Left Wing,Forward,6,Boston Bruins,20.17,0.35
David Krejci,Center,Forward,6,Boston Bruins,19.17,Chris Wagner,Right Wing,Forward,6,Boston Bruins,10.7,0.4
Brad Marchand,Left Wing,Forward,6,Boston Bruins,20.17,Chris Wagner,Right Wing,Forward,6,Boston Bruins,10.7,0.42
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,11.27,Trent Frederic,Center,Forward,6,Boston Bruins,10.73,0.5
Sean Kuraly,Center,Forward,6,Boston Bruins,12.68,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,15.12,0.53
Jack Studnicka,Center,Forward,6,Boston Bruins,11.67,David Krejci,Center,Forward,6,Boston Bruins,19.17,0.55
Patrice Bergeron,Center,Forward,6,Boston Bruins,17.67,Trent Frederic,Center,Forward,6,Boston Bruins,10.73,0.55
Anders Bjork,Left Wing,Forward,6,Boston Bruins,13.93,Jack Studnicka,Center,Forward,6,Boston Bruins,11.67,0.57
Trent Frederic,Center,Forward,6,Boston Bruins,10.73,Ondrej Kase,Right Wing,Forward,6,Boston Bruins,13.63,0.57
